NAME	REGULATORS	ANNOTATION
pCONST	NA	NA
pT7	T7	NA
pF	R73delta	NA
pLAC	lacI	NA
pTAC	lacI	NA
pTET	tetR	NA
pLAMBDA	cI	NA
pSOS	lexA	NA
pBAD(+Lara)	"Lara,araC"	NA
pMCBR	mcbR	NA
pLUX	"AHL,luxR"	NA
pLAS	"HSL,lasR"	NA
pRHL	"C4HSL,rhlR"	NA
pSAL	"Sal,nahR"	NA
TREt	"DOX,rtTA"	NA
pmgrB	Mg2+	NA
pompC	LIGHT	NA
phrpL	"hrpR,hrpS"	NA
pT7(fragment)	"T7-C,T7-N"	NA
psicA	"sicA,invF"	NA
pipaH	"ipgC,mxiE"	NA
pexsC	"exsC,exsDA"	NA
glnAp2	"ntrC,lacI"	NA
pLAC/BAD(+Lara)	"Lara,araC,lacI"	NA
pLUX/LAMBDA	"AHL,luxR,cI"	NA
pLUX/LAC	"AHL,luxR,lacI"	NA
pR/LAC	"cI,lacI"	NA
pSOS/LAC	"lexA,lacI"	NA
pBADpTET	"Lara,araC,tetR"	NA
pBADpLAS	"Lara,araC,HSL,lasR"	NA
pTETpLAS	"tetR,HSL,lasR"	NA
