
******************** printing table Devices ********************

('pCONST', 'pCONST', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pT7', 'pT7', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pF', 'pF', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pLAC', 'pLAC', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pTAC', 'pTAC', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pTET', 'pTET', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pLAMBDA', 'pLAMBDA', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pSOS', 'pSOS', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pBAD(+Lara)', 'pBAD', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pMCBR', 'pMCBR', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pLUX', 'pLUX', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pLAS', 'pLAS', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pRHL', 'pRHL', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pSAL', 'pSAL', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('TREt', 'TREt', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pmgrB', 'pmgrB', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pompC', 'pompC', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('phrpL', 'phrpL', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pT7(fragment)', 'pT7', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('psicA', 'psicA', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pipaH', 'pipaH', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pexsC', 'pexsC', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('glnAp2', 'glnAp2', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pLAC/BAD(+Lara)', 'pLAC/BAD', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pLUX/LAMBDA', 'pLUX/LAMBDA', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pLUX/LAC', 'pLUX/LAC', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pR/LAC', 'pR/LAC', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pSOS/LAC', 'pSOS/LAC', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pBADpTET', 'pBADpTET', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pBADpLAS', 'pBADpLAS', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('pTETpLAS', 'pTETpLAS', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('T7ptag', 'T7ptag', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('supD', 'supD', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('gfp', 'gfp', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('yfp', 'yfp', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('rfp', 'rfp', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('cfp', 'cfp', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('lacZ', 'lacZ', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('lacZalpha-ccdB', 'lacZalpha-ccdB', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('ntrC', 'ntrC', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('T7', 'T7', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('lacI(+IPTG)', 'lacI', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('lacI', 'lacI', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('tetR(+aTc)', 'tetR', '[ ]', '[ ]', 'Part', '2013', '[ ]')
('tetR', 'tetR', '[ ]', '[ ]', 'Part', '2013', '[ ]')
