NAME,TYPE,ANNOTATION
T7ptag,mRNA,NA
supD,mRNA,NA
gfp,mRNA,NA
yfp,mRNA,NA
rfp,mRNA,NA
cfp,mRNA,NA
lacZ,mRNA,NA
lacZalpha-ccdB,mRNA,NA
ntrC,mRNA,NA
T7,mRNA,NA
lacI(+IPTG),"mRNA,IPTG",NA
lacI,mRNA,NA
tetR(+aTc),"mRNA,aTc",NA
tetR,mRNA,NA
cI,mRNA,NA
cI434,mRNA,NA
lexA(+nalidixic-acid),"mRNA,nalidixic-acid",NA
lexA,mRNA,NA
araC,mRNA,NA
luxR,mRNA,NA
luxI,mRNA,NA
lasR,mRNA,NA
lasI,mRNA,NA
rhlR,mRNA,NA
rhlI,mRNA,NA
nahR,mRNA,NA
rtTA,mRNA,NA
hrpR,mRNA,NA
hrpS,mRNA,NA
aiiA,mRNA,NA
T7-C,mRNA,NA
T7-N,mRNA,NA
ccdA,mRNA,NA
ccdB,mRNA,NA
mcbR,mRNA,NA
R73delta,mRNA,NA
invF,mRNA,NA
sicA,mRNA,NA
mxiE,mRNA,NA
ipgC,mRNA,NA
exsDA,mRNA,NA
exsC,mRNA,NA
